Replicate,Scale,Index_Time_s,RAM_Avg_GB,RAM_Peak_GB,p50_ms,p95_ms,p99_ms,QPS,Recall@10
1,100,0.0546,0.0931,0.0938,1.8618,4.5683,4.8344,462.66,1.0000
1,1000,0.1332,0.0096,0.0098,1.9091,2.3032,2.4953,509.15,0.9998
1,10000,1.0626,0.0462,0.0465,1.9643,2.2713,2.4889,499.07,0.9985
1,100000,21.8258,0.1523,0.1868,2.1635,2.5988,2.7554,448.66,0.9888
1,1000000,546.3206,0.8923,1.4993,3.2403,4.6705,6.5870,293.10,0.9638
2,100,0.0856,0.0762,0.0766,2.8527,4.9168,6.2536,322.19,1.0000
2,1000,0.2755,0.0025,0.0027,2.9122,5.1374,6.4118,315.05,0.9997
2,10000,2.2995,0.0278,0.0281,2.9868,5.0908,6.3016,309.16,0.9983
2,100000,36.9808,0.1457,0.1803,3.4154,5.8079,7.5764,268.68,0.9893
2,1000000,703.7270,0.9640,1.6300,4.1599,6.7119,8.7422,222.51,0.9635
3,100,0.0688,0.0023,0.0028,3.6818,6.2805,8.1925,247.56,1.0000
3,1000,0.2262,0.0027,0.0028,3.7768,6.5112,8.2806,240.68,0.9999
3,10000,2.3080,0.0187,0.0192,3.8758,6.4882,8.2894,235.98,0.9986
3,100000,41.2046,0.1323,0.1661,4.1160,6.5402,8.3962,227.14,0.9888
3,1000000,736.3528,0.9485,1.6136,4.3688,6.9634,8.8914,211.92,0.9639
4,100,0.0671,0.0000,0.0000,3.8040,6.5744,8.5210,237.91,1.0000
4,1000,0.2382,0.0009,0.0012,3.8976,6.6978,8.8022,232.65,0.9998
4,10000,2.3208,0.0070,0.0075,4.0535,6.7758,8.6633,226.09,0.9985
4,100000,42.4634,0.1236,0.1541,4.2531,6.9571,8.9616,216.41,0.9889
4,1000000,747.1839,0.8679,1.3234,4.4680,7.0931,9.0113,207.30,0.9635
5,100,0.0634,0.0000,0.0000,3.8555,6.5015,8.5673,236.64,1.0000
5,1000,0.2327,0.0009,0.0010,3.9515,6.4883,8.2936,233.28,0.9998
5,10000,2.4251,0.0112,0.0118,4.1036,6.7689,8.9958,223.65,0.9982
5,100000,42.3892,0.1331,0.1652,4.2725,6.8700,8.8156,216.11,0.9891
5,1000000,754.8566,0.5001,0.8609,4.5038,7.0759,8.9262,206.78,0.9647
6,100,0.0620,0.0000,0.0000,3.9121,6.6086,8.6836,233.57,1.0000
6,1000,0.2153,0.0025,0.0029,4.0187,6.8079,8.7623,227.16,0.9998
6,10000,2.3475,0.0177,0.0182,4.1642,6.9847,9.0932,219.04,0.9985
6,100000,42.8687,0.1232,0.1566,4.3604,7.1949,9.2993,210.53,0.9888
6,1000000,588.0247,0.1925,0.7650,2.8183,3.3423,3.7125,349.61,0.9632
7,100,0.0894,0.0438,0.0440,2.4659,2.9074,3.1550,399.55,1.0000
7,1000,0.2008,0.0009,0.0010,2.4931,2.9255,3.1740,395.68,0.9998
7,10000,1.3500,0.0155,0.0157,2.5372,2.9325,3.1742,388.56,0.9981
7,100000,26.0124,0.1323,0.1613,3.1696,4.7416,6.3966,299.53,0.9888
7,1000000,694.1229,0.9379,1.6008,4.1439,6.7799,8.7186,221.82,0.9635
8,100,0.0655,0.0044,0.0046,3.7139,6.4468,8.2065,243.06,1.0000
8,1000,0.2211,0.0009,0.0012,3.7427,6.4586,8.1075,243.16,0.9996
8,10000,2.3893,0.0098,0.0101,3.9392,6.5639,8.5178,233.33,0.9981
8,100000,40.7189,0.1266,0.1576,4.0859,6.6329,8.6454,225.81,0.9890
8,1000000,731.0221,0.9100,1.3864,4.3466,7.0358,9.1832,211.56,0.9637
9,100,0.0717,0.0000,0.0000,3.7998,6.4373,8.0285,240.45,1.0000
9,1000,0.2252,0.0009,0.0012,3.9147,6.5868,8.5205,232.35,0.9996
9,10000,2.2414,0.0136,0.0141,4.0835,6.5899,8.5443,226.98,0.9982
9,100000,41.8855,0.1232,0.1533,4.2284,6.8980,8.6923,217.60,0.9891
9,1000000,782.1519,0.3713,0.4885,4.4818,7.1913,9.2304,205.28,0.9636
10,100,0.0791,0.0000,0.0000,3.9155,6.6747,8.5761,231.82,1.0000
10,1000,0.2229,0.0008,0.0010,3.9653,6.5915,8.4534,231.32,0.9999
10,10000,2.4971,0.0191,0.0197,4.1106,6.8731,8.7703,222.65,0.9985
10,100000,42.8439,0.1192,0.1471,4.3131,7.0717,9.1211,212.55,0.9891
10,1000000,928.5284,0.7357,0.9586,4.6543,7.3936,9.6612,198.17,0.9637
