Replicate,Scale,Ingest_Time_s,Index_Build_s,RAM_Avg_GB,RAM_Peak_GB,p50_ms,p95_ms,p99_ms,QPS,Recall@10
1,100,0.0403,0.0106,0.0000,0.0000,0.5653,0.6643,0.6875,1732.43,1.0000
1,1000,0.3084,0.2058,0.0044,0.0044,0.6461,0.7498,0.7747,1516.75,0.9998
1,10000,2.8553,3.1907,0.0208,0.0253,0.8483,0.9569,1.0123,1189.36,0.9985
1,100000,28.5268,27.1138,0.4378,1.0500,1.1460,1.3082,1.3746,887.54,0.9935
1,1000000,289.8439,870.6881,1.4315,2.2395,4.4320,5.2294,5.5379,236.29,0.9771
2,100,0.0310,0.0101,0.0000,0.0000,0.5650,0.6573,0.6838,1745.25,1.0000
2,1000,0.2963,0.2054,0.0000,0.0000,0.6509,0.7605,0.7820,1497.60,0.9997
2,10000,2.8251,3.1920,0.0117,0.0230,0.8530,0.9726,1.0254,1180.61,0.9987
2,100000,28.4866,27.4878,0.4355,1.0483,1.1489,1.3073,1.3748,885.01,0.9934
2,1000000,290.0731,870.0986,1.4317,2.2398,4.4837,5.3120,5.6444,233.39,0.9771
3,100,0.0301,0.0102,0.0000,0.0000,0.5565,0.6434,0.6778,1799.42,1.0000
3,1000,0.3394,0.2056,0.0000,0.0000,0.6405,0.7336,0.7639,1544.60,0.9998
3,10000,2.8298,3.2007,0.0113,0.0219,0.8563,0.9897,1.0454,1174.23,0.9970
3,100000,28.4065,27.4715,0.4348,1.0486,1.1579,1.3257,1.3906,876.47,0.9933
3,1000000,289.7397,867.8520,1.4287,2.2397,4.4502,5.2791,5.5817,234.88,0.9770
4,100,0.0370,0.0100,0.0000,0.0000,0.5625,0.6612,0.6888,1746.38,1.0000
4,1000,0.2985,0.2049,0.0000,0.0000,0.6389,0.7373,0.7667,1542.97,0.9998
4,10000,2.8320,3.2024,0.0115,0.0219,0.8512,0.9841,1.0426,1179.96,0.9992
4,100000,28.4504,27.2169,0.4355,1.0484,1.1455,1.3000,1.3730,887.25,0.9934
4,1000000,289.2097,872.1430,1.4329,2.2394,4.5075,5.3439,5.6261,232.00,0.9770
5,100,0.0366,0.0101,0.0000,0.0000,0.5682,0.6719,0.6922,1708.46,1.0000
5,1000,0.3112,0.2054,0.0000,0.0000,0.6388,0.7291,0.7612,1550.82,0.9997
5,10000,2.8434,3.1870,0.0111,0.0182,0.8607,0.9887,1.0343,1167.32,0.9986
5,100000,28.3261,27.5569,0.4355,1.0489,1.1482,1.3083,1.3736,887.08,0.9934
5,1000000,289.3073,871.0457,1.4315,2.2392,4.5018,5.3246,5.6176,232.62,0.9767
6,100,0.0320,0.0166,0.0000,0.0000,0.5668,0.6697,0.6902,1720.93,1.0000
6,1000,0.3367,0.2048,0.0000,0.0000,0.6448,0.7495,0.7763,1517.71,0.9996
6,10000,2.8393,3.2134,0.0112,0.0189,0.8477,0.9431,0.9985,1192.32,0.9950
6,100000,28.4175,27.2067,0.4349,1.0487,1.1480,1.3050,1.3735,886.50,0.9932
6,1000000,288.9566,867.4285,1.4296,2.2394,4.4357,5.2560,5.5676,235.83,0.9770
7,100,0.0298,0.0099,0.0000,0.0000,0.5690,0.6714,0.6912,1714.61,1.0000
7,1000,0.3000,0.1988,0.0000,0.0000,0.6406,0.7459,0.7694,1541.19,0.9998
7,10000,2.8186,3.1804,0.0124,0.0241,0.8659,0.9946,1.0448,1161.04,0.9977
7,100000,28.4196,27.1841,0.4360,1.0486,1.1457,1.3015,1.3736,888.14,0.9935
7,1000000,288.8163,871.9004,1.4312,2.2394,4.4896,5.3144,5.6057,233.30,0.9773
8,100,0.0309,0.0102,0.0000,0.0000,0.5641,0.6482,0.6781,1749.84,1.0000
8,1000,0.3312,0.2062,0.0000,0.0000,0.6478,0.7539,0.7735,1508.32,0.9998
8,10000,2.8428,3.1912,0.0110,0.0179,0.8580,0.9845,1.0331,1173.82,0.9988
8,100000,28.4483,27.1966,0.4361,1.0487,1.1495,1.3095,1.3804,884.36,0.9934
8,1000000,290.1562,872.8493,1.4320,2.2397,4.4899,5.3119,5.6003,233.24,0.9774
9,100,0.0310,0.0103,0.0000,0.0000,0.5639,0.6608,0.6845,1738.57,1.0000
9,1000,0.2992,0.2040,0.0000,0.0000,0.6398,0.7187,0.7614,1551.84,0.9998
9,10000,2.8196,3.1971,0.0117,0.0235,0.8632,1.0000,1.0478,1161.86,0.9987
9,100000,28.2720,27.1282,0.4352,1.0481,1.1517,1.3126,1.3872,881.46,0.9934
9,1000000,290.1863,872.0617,1.4330,2.2396,4.4868,5.3142,5.6125,233.23,0.9770
10,100,0.0313,0.0102,0.0000,0.0000,0.5644,0.6597,0.6847,1743.21,1.0000
10,1000,0.2984,0.2063,0.0000,0.0000,0.6489,0.7521,0.7724,1504.31,0.9998
10,10000,2.8291,3.1890,0.0119,0.0245,0.8523,0.9808,1.0653,1179.79,0.9987
10,100000,28.5199,27.1643,0.4342,1.0483,1.1491,1.3079,1.3836,885.17,0.9934
10,1000000,288.9713,871.4150,1.4313,2.2390,4.5095,5.3420,5.6451,232.06,0.9768
