Replicate,Scale,Index_Time_s,RAM_Avg_GB,RAM_Peak_GB,p50_ms,p95_ms,p99_ms,QPS,Recall@10
1,100,0.0625,0.0000,0.0000,1.3346,1.5561,1.6846,736.19,1.0000
1,1000,0.1063,0.0000,0.0066,3.8089,4.0268,4.2128,344.10,1.0000
1,10000,0.5203,0.0199,0.0406,1.8120,4.3071,4.5168,418.74,1.0000
1,100000,4.1317,0.1407,0.1889,4.9835,7.1350,7.2933,195.05,1.0000
1,1000000,300.0363,1.2266,1.5691,1.8521,2.0837,2.2413,536.73,0.9895
2,100,0.0622,0.0000,0.0000,3.7871,4.0045,4.1833,348.42,1.0000
2,1000,0.1044,0.0000,0.0000,1.4310,4.0153,4.2124,495.99,1.0000
2,10000,0.4580,0.0221,0.0460,1.8522,4.3695,4.5827,366.49,1.0000
2,100000,4.3760,0.1378,0.2005,4.8251,7.0855,7.4596,199.94,1.0000
2,1000000,310.9920,1.2241,1.4738,1.8586,2.1011,2.2938,533.77,0.9895
3,100,0.0632,0.0000,0.0000,3.7894,4.0146,4.2018,347.97,1.0000
3,1000,0.1051,0.0000,0.0000,1.4397,4.0431,4.2711,478.25,1.0000
3,10000,0.4524,0.0196,0.0396,1.8342,4.3589,4.5785,376.84,1.0000
3,100000,4.3778,0.1420,0.1891,4.7323,7.1844,7.5119,201.34,1.0000
3,1000000,321.9365,1.3513,1.8788,1.7663,3.4603,4.5143,478.59,0.9836
4,100,0.0599,0.0000,0.0000,3.7695,3.9967,4.1691,349.57,1.0000
4,1000,0.1039,0.0000,0.0000,1.4271,4.0103,4.2118,492.28,1.0000
4,10000,0.4464,0.0189,0.0395,1.8436,4.3538,4.5778,369.92,1.0000
4,100000,4.3023,0.1416,0.1945,4.7583,5.1795,7.2077,204.99,1.0000
4,1000000,161.0734,1.2339,1.4683,21.5652,36.1731,37.9604,53.20,0.9914
5,100,0.0595,0.0000,0.0000,1.3533,3.8409,3.9985,584.40,1.0000
5,1000,0.0950,0.0000,0.0000,3.9113,4.1207,4.3075,308.93,1.0000
5,10000,0.4571,0.0194,0.0368,1.7927,2.0230,2.1497,551.12,1.0000
5,100000,4.1485,0.1413,0.1918,4.6666,7.2590,7.4454,190.85,1.0000
5,1000000,305.9857,1.1064,1.3405,1.8563,2.0755,2.2311,536.66,0.9893
6,100,0.0558,0.0000,0.0000,3.7805,4.0066,4.1831,348.81,1.0000
6,1000,0.0989,0.0000,0.0000,1.4317,4.0222,4.2331,497.23,1.0000
6,10000,0.4492,0.0194,0.0403,1.8603,4.3717,4.5979,365.18,1.0000
6,100000,4.3710,0.1423,0.2003,4.9815,7.1184,7.3986,196.97,1.0000
6,1000000,295.2367,1.2070,1.4796,1.8577,2.0823,2.2458,535.07,0.9892
7,100,0.0598,0.0000,0.0000,3.7814,3.9769,4.1563,349.91,1.0000
7,1000,0.1019,0.0000,0.0000,1.4319,4.0180,4.2221,478.62,1.0000
7,10000,0.4504,0.0116,0.0372,1.8359,4.3449,4.5788,377.87,1.0000
7,100000,4.3903,0.1419,0.1856,4.7223,7.1725,7.4954,200.23,1.0000
7,1000000,263.3843,1.2136,1.5290,2.7768,3.0060,3.1544,358.79,0.9885
8,100,0.0601,0.0000,0.0000,3.7675,3.9888,4.1732,349.98,1.0000
8,1000,0.0950,0.0000,0.0004,1.4247,4.0038,4.1888,521.85,1.0000
8,10000,0.4840,0.0188,0.0421,1.8622,4.3714,4.5928,353.94,1.0000
8,100000,4.3762,0.1388,0.1955,4.7540,5.0571,5.3049,208.15,1.0000
8,1000000,305.6277,1.2296,1.5427,1.8457,2.0760,2.2279,539.00,0.9888
9,100,0.0601,0.0000,0.0000,3.7791,3.9728,4.1670,350.11,1.0000
9,1000,0.1018,0.0000,0.0000,1.4374,4.0333,4.2510,476.03,1.0000
9,10000,0.4533,0.0168,0.0361,1.8262,4.3412,4.5582,380.61,1.0000
9,100000,4.3985,0.1396,0.1845,4.9816,7.2618,7.5581,192.77,1.0000
9,1000000,298.4086,1.2424,1.4797,1.8616,2.1344,2.3105,532.71,0.9886
10,100,0.0579,0.0000,0.0000,3.7886,4.0103,4.1871,348.29,1.0000
10,1000,0.0977,0.0020,0.0065,1.4384,4.0331,4.2438,482.71,1.0000
10,10000,0.4516,0.0195,0.0376,1.8430,4.3704,4.5837,373.70,1.0000
10,100000,4.3940,0.1334,0.2070,4.9347,7.2993,7.4390,195.28,1.0000
10,1000000,305.8069,1.2478,1.4996,1.8453,2.0723,2.2337,538.95,0.9887
