Replicate,Scale,Index_Time_s,RAM_Avg_GB,RAM_Peak_GB,p50_ms,p95_ms,p99_ms,QPS,Recall@10
1,100,0.0653,0.0000,0.0000,1.3310,1.5563,1.6883,738.16,1.0000
1,1000,0.1006,0.0000,0.0000,3.7973,3.9960,4.1937,346.30,1.0000
1,10000,0.5171,0.0196,0.0378,1.8247,4.3132,4.5149,414.84,1.0000
1,100000,4.1431,0.1227,0.1646,4.8905,7.1280,7.3785,196.90,0.9999
1,1000000,332.2518,1.1309,1.3776,1.9171,2.1422,2.2936,519.97,0.9882
2,100,0.0628,0.0000,0.0000,3.7638,3.9889,4.1691,350.31,1.0000
2,1000,0.1077,0.0000,0.0000,1.4345,4.0108,4.2083,483.02,1.0000
2,10000,0.4486,0.0167,0.0331,1.8370,4.3682,4.5806,375.52,1.0000
2,100000,4.2958,0.1221,0.1602,4.7568,7.1452,7.4789,201.97,1.0000
2,1000000,292.8221,1.1510,1.4662,2.1549,2.3933,2.5650,461.02,0.9875
3,100,0.0627,0.0000,0.0000,3.7786,3.9784,4.1650,350.19,1.0000
3,1000,0.1039,0.0000,0.0000,1.4079,3.9863,4.2045,517.80,1.0000
3,10000,0.4827,0.0183,0.0349,1.8513,4.3662,4.5782,359.96,1.0000
3,100000,4.3139,0.1068,0.1492,4.8675,5.1552,5.3643,203.72,1.0000
3,1000000,498.8257,1.4365,1.9533,1.8086,2.0295,2.1838,549.57,0.9783
4,100,0.0623,0.0000,0.0000,3.7921,4.0139,4.1861,348.16,1.0000
4,1000,0.1061,0.0000,0.0035,1.4290,4.0289,4.2490,495.95,1.0000
4,10000,0.4432,0.0163,0.0334,1.8497,4.3749,4.6012,366.22,1.0000
4,100000,4.3717,0.1387,0.1721,5.0099,7.1957,7.5154,195.48,1.0000
4,1000000,326.7126,1.0677,1.2447,1.9123,2.1425,2.3106,521.93,0.9893
5,100,0.0572,0.0000,0.0000,3.7892,4.0127,4.2019,348.42,1.0000
5,1000,0.0954,0.0000,0.0000,1.4164,4.0070,4.2391,484.86,1.0000
5,10000,0.4522,0.0144,0.0340,1.8279,4.3468,4.5666,376.93,1.0000
5,100000,4.3270,0.1197,0.1901,4.7010,7.1618,7.4516,201.59,1.0000
5,1000000,273.7569,1.1202,1.3299,1.9715,26.6488,28.5002,111.84,0.9895
6,100,0.0525,0.0000,0.0000,1.4009,3.9527,4.1435,438.77,1.0000
6,1000,0.1003,0.0000,0.0000,1.7160,4.0650,4.2699,374.89,1.0000
6,10000,0.4496,0.0155,0.0360,1.8002,4.3003,4.4098,469.29,1.0000
6,100000,4.0996,0.1113,0.1514,4.9031,7.2438,7.5421,189.14,1.0000
6,1000000,322.5341,1.1353,1.3453,1.9194,2.1462,2.3126,520.18,0.9894
7,100,0.0607,0.0000,0.0000,3.8489,4.0761,4.3021,342.71,1.0000
7,1000,0.1017,0.0000,0.0000,1.4318,4.0116,4.2189,488.37,1.0000
7,10000,0.4489,0.0162,0.0368,1.8447,4.3786,4.5989,370.88,1.0000
7,100000,4.3459,0.0966,0.1476,5.0067,7.2672,7.5143,192.92,0.9999
7,1000000,317.1324,1.1164,1.3362,1.9196,2.1487,2.3115,520.11,0.9889
8,100,0.0656,0.0000,0.0000,3.7889,4.0152,4.2052,348.56,1.0000
8,1000,0.0998,0.0000,0.0000,1.4320,4.0266,4.2324,497.80,1.0000
8,10000,0.4532,0.0155,0.0349,1.8417,4.3659,4.5844,366.55,1.0000
8,100000,4.2780,0.1227,0.1637,4.8495,5.2497,7.3707,202.13,1.0000
8,1000000,338.2510,1.1390,1.3277,1.9102,2.1515,2.3045,521.32,0.9897
9,100,0.0653,0.0000,0.0000,3.7720,3.9938,4.1899,349.93,1.0000
9,1000,0.1275,0.0000,0.0000,1.4233,4.0040,4.1932,493.65,1.0000
9,10000,0.4886,0.0145,0.0275,1.8407,4.3620,4.5943,370.90,1.0000
9,100000,4.3408,0.1128,0.1600,4.7249,7.0938,7.4222,203.56,0.9999
9,1000000,333.2129,1.0920,1.2912,1.9112,2.1344,2.3156,521.09,0.9896
10,100,0.0606,0.0000,0.0000,3.7788,3.9799,4.1786,350.32,1.0000
10,1000,0.1299,0.0000,0.0000,1.4194,4.0119,4.2124,503.97,1.0000
10,10000,0.4829,0.0155,0.0363,1.9007,4.3862,4.6024,361.12,1.0000
10,100000,4.3253,0.1173,0.1835,4.7186,5.0765,7.2202,207.17,0.9999
10,1000000,357.1221,1.2532,1.5942,1.7983,2.0222,2.1886,552.54,0.9841
