Scale,Motor,p95_ms
100,Qdrant,1.5561
1000,Qdrant,4.0268
10000,Qdrant,4.3071
100000,Qdrant,7.1350
1000000,Qdrant,2.0837
100,Qdrant,4.0045
1000,Qdrant,4.0153
10000,Qdrant,4.3695
100000,Qdrant,7.0855
1000000,Qdrant,2.1011
100,Qdrant,4.0146
1000,Qdrant,4.0431
10000,Qdrant,4.3589
100000,Qdrant,7.1844
1000000,Qdrant,3.4603
100,Qdrant,3.9967
1000,Qdrant,4.0103
10000,Qdrant,4.3538
100000,Qdrant,5.1795
1000000,Qdrant,36.1731
100,Qdrant,3.8409
1000,Qdrant,4.1207
10000,Qdrant,2.0230
100000,Qdrant,7.2590
1000000,Qdrant,2.0755
100,Qdrant,4.0066
1000,Qdrant,4.0222
10000,Qdrant,4.3717
100000,Qdrant,7.1184
1000000,Qdrant,2.0823
100,Qdrant,3.9769
1000,Qdrant,4.0180
10000,Qdrant,4.3449
100000,Qdrant,7.1725
1000000,Qdrant,3.0060
100,Qdrant,3.9888
1000,Qdrant,4.0038
10000,Qdrant,4.3714
100000,Qdrant,5.0571
1000000,Qdrant,2.0760
100,Qdrant,3.9728
1000,Qdrant,4.0333
10000,Qdrant,4.3412
100000,Qdrant,7.2618
1000000,Qdrant,2.1344
100,Qdrant,4.0103
1000,Qdrant,4.0331
10000,Qdrant,4.3704
100000,Qdrant,7.2993
1000000,Qdrant,2.0723
100,pgvector,0.6643
1000,pgvector,0.7498
10000,pgvector,0.9569
100000,pgvector,1.3082
1000000,pgvector,5.2294
100,pgvector,0.6573
1000,pgvector,0.7605
10000,pgvector,0.9726
100000,pgvector,1.3073
1000000,pgvector,5.3120
100,pgvector,0.6434
1000,pgvector,0.7336
10000,pgvector,0.9897
100000,pgvector,1.3257
1000000,pgvector,5.2791
100,pgvector,0.6612
1000,pgvector,0.7373
10000,pgvector,0.9841
100000,pgvector,1.3000
1000000,pgvector,5.3439
100,pgvector,0.6719
1000,pgvector,0.7291
10000,pgvector,0.9887
100000,pgvector,1.3083
1000000,pgvector,5.3246
100,pgvector,0.6697
1000,pgvector,0.7495
10000,pgvector,0.9431
100000,pgvector,1.3050
1000000,pgvector,5.2560
100,pgvector,0.6714
1000,pgvector,0.7459
10000,pgvector,0.9946
100000,pgvector,1.3015
1000000,pgvector,5.3144
100,pgvector,0.6482
1000,pgvector,0.7539
10000,pgvector,0.9845
100000,pgvector,1.3095
1000000,pgvector,5.3119
100,pgvector,0.6608
1000,pgvector,0.7187
10000,pgvector,1.0000
100000,pgvector,1.3126
1000000,pgvector,5.3142
100,pgvector,0.6597
1000,pgvector,0.7521
10000,pgvector,0.9808
100000,pgvector,1.3079
1000000,pgvector,5.3420
100,ChromaDB,10.8735
1000,ChromaDB,11.0229
10000,ChromaDB,11.3058
100000,ChromaDB,11.4724
1000000,ChromaDB,11.9150
100,ChromaDB,11.1383
1000,ChromaDB,10.8959
10000,ChromaDB,8.9504
100000,ChromaDB,5.4159
1000000,ChromaDB,9.7469
100,ChromaDB,11.0885
1000,ChromaDB,10.6613
10000,ChromaDB,11.2071
100000,ChromaDB,11.1435
1000000,ChromaDB,11.7093
100,ChromaDB,11.1548
1000,ChromaDB,11.2952
10000,ChromaDB,11.5564
100000,ChromaDB,11.6660
1000000,ChromaDB,11.7957
100,ChromaDB,11.0863
1000,ChromaDB,11.4381
10000,ChromaDB,11.4431
100000,ChromaDB,11.6841
1000000,ChromaDB,6.9993
100,ChromaDB,6.7250
1000,ChromaDB,6.7779
10000,ChromaDB,6.8856
100000,ChromaDB,6.9409
1000000,ChromaDB,7.0804
100,ChromaDB,6.7607
1000,ChromaDB,6.8085
10000,ChromaDB,6.8888
100000,ChromaDB,7.0348
1000000,ChromaDB,4.2773
100,ChromaDB,2.8717
1000,ChromaDB,2.9487
10000,ChromaDB,3.0232
100000,ChromaDB,3.6622
1000000,ChromaDB,6.8131
100,ChromaDB,6.3864
1000,ChromaDB,6.4022
10000,ChromaDB,6.6290
100000,ChromaDB,6.8822
1000000,ChromaDB,7.3091
100,ChromaDB,6.5739
1000,ChromaDB,6.5406
10000,ChromaDB,6.7244
100000,ChromaDB,7.1298
1000000,ChromaDB,7.5148
