Replicate,DB,Metric,First_Resp_Cold_ms,First_Resp_Warm_ms,Cold_First10_Mean_ms,p50_Cold_ms,p50_Warm_ms,p95_Cold_ms,p95_Warm_ms,Recall_Cold,Recall_Warm,Stabilization_Time_s,Index_Load_Time_s
1,ChromaDB,L2,1767.9011480067857,3.2837800099514425,181.06196639710106,7.809415983501822,4.500126524362713,8.341439283685759,4.854166231234558,96.25,96.25,4.89812571456423,0.09119963645935059
2,ChromaDB,L2,1770.2108269440942,8.514748013112694,181.2318423006218,9.810764517169446,8.890243509085849,10.461393618606962,9.144319655024447,96.25,96.25,2.626855253125541,0.6173884868621826
3,ChromaDB,L2,1768.7859120196663,10.262714989949018,181.03238850017078,11.295411008177325,5.155615508556366,12.010222233948296,10.099909198470414,96.25,96.25,7.3288170892046764,0.6077327728271484
4,ChromaDB,L2,1769.412141002249,10.42079896433279,181.08811039710417,11.269429523963481,10.182504018303007,12.07230870204512,10.514200973557308,96.25,96.25,2.758158083015587,0.6234147548675537
5,ChromaDB,L2,1767.501650028862,10.305750998668373,181.21229670359753,11.306869477266446,10.185938503127545,12.173621487454511,10.554745013359934,96.25,96.25,2.7735948379850015,0.608630895614624
6,ChromaDB,L2,1770.8433630177751,10.169886983931065,181.43107449868694,11.276426492258906,10.202110512182117,12.0016301429132,10.715294288820587,96.25,96.25,2.702328421466518,0.6083054542541504
7,ChromaDB,L2,1764.412630989682,8.834524021949619,180.74088659486733,9.8316005023662,2.602247492177412,10.516059241490439,9.041342537966557,96.25,96.25,6.927344506315421,0.6084985733032227
8,ChromaDB,L2,1767.562983033713,8.88331001624465,180.98117139888927,9.869130473816767,8.921467990148813,10.585162730421871,9.204767996561714,96.25,96.25,2.6487931042793207,0.6130049228668213
9,ChromaDB,L2,1769.8485579458065,5.360201001167297,181.43846259918064,6.33788900449872,5.238335987087339,6.916762451874092,5.646706951665692,96.25,96.25,2.8174396356916986,0.6102206707000732
10,ChromaDB,L2,1767.7994800033048,9.016469004563987,180.96424210234545,10.480181488674134,9.519567480310798,11.142353602917865,9.779660066124052,96.25,96.25,2.5908427645335905,0.5987272262573242
