Replicate,DB,Metric,First_Resp_Cold_ms,First_Resp_Warm_ms,p50_Cold_ms,p50_Warm_ms,p95_Cold_ms,p95_Warm_ms,Recall_Cold,Recall_Warm,Stabilization_Time_s,Index_Load_Time_s
1,pgvector,Cosine,172.7112,1.6382,5.7185,4.5105,65.6719,5.2564,97.49,97.49,9.5808,0.2577
2,pgvector,Cosine,246.1606,1.6447,5.6614,4.5195,80.788,5.2757,97.49,97.49,10.7115,0.2584
3,pgvector,Cosine,194.849,1.6757,5.7642,4.5227,80.1734,5.2817,97.49,97.49,10.6838,0.2515
4,pgvector,Cosine,253.1324,1.7155,5.7249,4.5089,82.9149,5.255,97.49,97.49,10.7953,0.2598
5,pgvector,Cosine,198.4026,1.643,5.6759,4.5014,78.8295,5.2702,97.49,97.49,10.3484,0.2683
6,pgvector,Cosine,246.2067,1.7775,5.7379,4.5114,81.6929,5.2534,97.49,97.49,10.7933,0.2754
7,pgvector,Cosine,207.0086,1.5906,5.6828,4.6036,88.4248,5.3459,97.49,97.49,10.8121,0.2599
8,pgvector,Cosine,230.991,1.6337,5.7713,4.5487,83.4989,5.2856,97.49,97.49,10.0915,0.2598
9,pgvector,Cosine,200.9132,1.6655,5.73,4.523,90.55,5.2602,97.49,97.49,10.9029,0.2598
10,pgvector,Cosine,207.5439,1.6354,5.6676,4.5116,81.7359,5.2524,97.49,97.49,10.8566,0.2599
