Replicate,DB,Metric,First_Resp_Cold_ms,First_Resp_Warm_ms,p50_Cold_ms,p50_Warm_ms,p95_Cold_ms,p95_Warm_ms,Recall_Cold,Recall_Warm,Stabilization_Time_s,Index_Load_Time_s
1,pgvector,L2,259.085,1.5905,5.5736,4.3803,73.2616,5.1443,97.05,97.05,9.9828,0.2583
2,pgvector,L2,236.5364,1.5847,5.5648,4.3971,81.9281,5.1814,97.05,97.05,10.7686,0.2516
3,pgvector,L2,233.8668,1.5659,5.6067,4.4124,82.4201,5.1795,97.05,97.05,10.8531,0.2531
4,pgvector,L2,193.6932,1.5638,5.655,4.4112,81.0608,5.2018,97.05,97.05,10.6176,0.2522
5,pgvector,L2,236.9593,1.5507,5.563,4.4801,86.1456,5.2444,97.05,97.05,10.9393,0.2523
6,pgvector,L2,195.2218,1.5473,5.5427,4.4031,80.5162,5.203,97.05,97.05,10.7245,0.2723
7,pgvector,L2,221.9679,1.5627,5.672,4.4424,83.9668,5.2573,97.05,97.05,11.143,0.2594
8,pgvector,L2,196.9882,1.5501,5.5687,4.3825,81.7698,5.1674,97.05,97.05,10.4189,0.2525
9,pgvector,L2,221.9318,1.5756,5.5897,4.378,82.7505,5.1527,97.05,97.05,10.7708,0.2791
10,pgvector,L2,247.6821,1.5495,5.5641,4.3853,81.0411,5.1487,97.05,97.05,11.0391,0.2537
