Replicate,DB,Metric,First_Resp_Cold_ms,First_Resp_Warm_ms,p50_Cold_ms,p50_Warm_ms,p95_Cold_ms,p95_Warm_ms,Recall_Cold,Recall_Warm,Stabilization_Time_s,Index_Load_Time_s
1,Qdrant,Cosine,2.2085,1.967,1.8589,1.8677,2.0734,2.0959,98.7,98.7,0.0241,34.0151
2,Qdrant,Cosine,1.9858,1.9624,1.8604,1.8594,2.0944,2.0626,98.7,98.7,0.0121,34.2326
3,Qdrant,Cosine,2.2796,1.8674,1.8595,1.8607,2.0791,2.0791,98.64,98.64,0.0109,33.928
4,Qdrant,Cosine,2.0727,2.1849,1.8522,1.8548,2.0717,2.0588,98.66,98.66,0.0056,34.0274
5,Qdrant,Cosine,1.8827,1.9114,1.8637,1.864,2.0531,2.0749,98.66,98.66,0,34.3307
6,Qdrant,Cosine,2.3206,1.8319,1.8573,1.8566,2.0817,2.0659,98.66,98.66,0.0073,33.9215
7,Qdrant,Cosine,2.0417,2.1658,1.8566,1.8601,2.0527,2.0842,98.7,98.7,0.0025,34.0278
8,Qdrant,Cosine,1.9941,1.8554,1.8607,1.8604,2.0606,2.0686,98.64,98.64,0.0103,34.2294
9,Qdrant,Cosine,2.0851,2.1484,1.8563,1.849,2.0531,2.0825,98.64,98.64,0.0065,34.0223
10,Qdrant,Cosine,2.0835,1.9599,1.8619,1.8586,2.0694,2.0553,98.7,98.7,0.0097,34.0288
