Replicate,DB,Metric,First_Resp_Cold_ms,First_Resp_Warm_ms,p50_Cold_ms,p50_Warm_ms,p95_Cold_ms,p95_Warm_ms,Recall_Cold,Recall_Warm,Stabilization_Time_s,Index_Load_Time_s
1,Qdrant,L2,1.9021,1.9766,1.8527,1.8503,2.0723,2.0543,98.08,98.08,0.0297,35.6541
2,Qdrant,L2,2.079,1.8498,1.8562,1.8535,2.0649,2.0926,98.06,98.06,0.0018,34.021
3,Qdrant,L2,2.1092,2.1128,1.8607,1.852,2.0834,2.0462,98.07,98.07,0.0072,34.0211
4,Qdrant,L2,2.0568,1.9069,1.8558,1.859,2.1037,2.0733,98.07,98.07,0.0062,34.024
5,Qdrant,L2,1.8331,1.821,1.857,1.8488,2.0763,2.077,98.09,98.09,0.0104,33.9244
6,Qdrant,L2,2.0198,2.0833,1.8541,1.8503,2.0732,2.082,98.06,98.06,0.0077,34.0282
7,Qdrant,L2,2.1601,1.8207,1.8509,1.8505,2.0467,2.0518,98.09,98.09,0.0029,34.0273
8,Qdrant,L2,1.8865,1.8348,1.8541,1.8489,2.054,2.0804,98.09,98.09,0.0092,34.1285
9,Qdrant,L2,2.2015,1.9428,1.8517,1.8536,2.0681,2.0597,98.07,98.07,0.0061,33.9291
10,Qdrant,L2,2.3181,1.7659,1.8728,1.8563,2.1013,2.0824,98.03,98.03,0.0243,33.9209
