Query_ID,Latency_ms
1,2.8191
2,2.5524
3,2.3313
4,2.5845
5,2.7575
6,2.7115
7,2.8384
8,2.738
9,2.7715
10,2.5873
11,2.8688
12,2.6091
13,2.7785
14,2.6955
15,2.6186
16,2.8975
17,3.0461
18,2.6658
19,2.7839
20,2.6498
21,2.6789
22,2.9421
23,2.5402
24,2.8125
25,2.3893
26,2.7703
27,2.7401
28,2.7228
29,2.759
30,2.654
31,2.7825
32,2.6556
33,2.5186
34,2.819
35,2.6065
36,2.5222
37,3.062
38,2.6263
39,2.6795
40,2.6475
41,2.8963
42,2.7611
43,2.7165
44,2.5889
45,2.6974
46,2.5587
47,2.6798
48,3.028
49,2.7767
50,2.5859
51,2.7358
52,2.8136
53,2.5605
54,2.5552
55,2.5546
56,2.6478
57,2.8914
58,2.8204
59,2.7856
60,2.6102
61,2.791
62,2.6754
63,2.5078
64,2.465
65,2.4935
66,2.5937
67,2.6781
68,2.8067
69,2.7656
70,2.7956
71,2.4164
72,2.4892
73,2.9319
74,2.6607
75,2.7406
76,2.6577
77,2.6648
78,2.6491
79,2.7231
80,2.932
81,2.6808
82,2.7323
83,2.6016
84,2.6218
85,2.5471
86,2.4752
87,2.8086
88,2.6355
89,2.6534
90,2.6485
91,2.5216
92,2.6556
93,2.8355
94,2.6965
95,2.7386
96,2.925
97,2.7219
98,2.6745
99,2.7395
100,2.8932
101,2.9308
102,2.631
103,2.8415
104,2.7415
105,2.7517
106,2.4399
107,2.4906
108,2.5458
109,2.498
110,2.7398
111,2.7103
112,2.5577
113,2.6919
114,2.5748
115,2.4054
116,2.4106
117,2.6824
118,2.5722
119,2.4793
120,2.6312
121,2.7623
122,3.777
123,2.855
124,3.0861
125,2.9511
126,3.0658
127,2.9393
128,2.9015
129,2.8054
130,2.764
131,2.8165
132,2.5391
133,2.8074
134,2.7152
135,2.6695
136,2.8125
137,2.654
138,2.8253
139,2.896
140,3.0596
141,2.6377
142,2.755
143,2.7381
144,2.5009
145,2.7144
146,2.8696
147,2.8454
148,3.1311
149,3.1302
150,2.4165
151,2.7923
152,2.6026
153,2.5894
154,2.7408
155,2.7858
156,2.9965
157,2.8939
158,2.9591
159,2.7099
160,2.7187
161,2.5987
162,2.6914
163,2.8895
164,2.7997
165,2.7832
166,2.6612
167,2.7846
168,2.6433
169,2.7311
170,2.9098
171,2.6887
172,3.0021
173,2.7913
174,2.5384
175,2.4368
176,2.7563
177,2.6438
178,2.8383
179,2.6539
180,2.7703
181,2.765
182,2.7901
183,2.6029
184,2.9284
185,2.8523
186,2.4659
187,2.6805
188,2.8555
189,2.8434
190,2.6492
191,2.5581
192,2.8279
193,2.7103
194,2.913
195,2.7856
196,2.7164
197,2.9644
198,2.7609
199,2.5947
200,2.7738
201,2.6359
202,2.7676
203,2.7208
204,2.8165
205,2.7036
206,2.7491
207,2.8163
208,2.9575
209,2.9864
210,2.6778
211,2.8802
212,2.9717
213,2.6372
214,2.5845
215,2.7229
216,2.5251
217,2.9304
218,2.9693
219,2.8031
220,2.7924
221,2.7367
222,2.7958
223,2.7345
224,2.7944
225,2.8153
226,2.7528
227,2.7496
228,2.7131
229,2.7497
230,2.808
231,2.619
232,2.7185
233,2.5871
234,2.7484
235,2.6922
236,2.7302
237,2.7814
238,2.7623
239,2.7114
240,2.9212
241,3.1453
242,2.8779
243,2.8551
244,2.7176
245,2.5595
246,2.8344
247,2.9209
248,2.8113
249,2.9403
250,2.7146
251,2.9111
252,3.0097
253,2.8613
254,2.8595
255,3.0977
256,2.6527
257,2.7749
258,2.7255
259,2.8817
260,2.474
261,2.7014
262,2.7078
263,2.6396
264,2.7766
265,2.6711
266,2.3733
267,2.6652
268,2.6158
269,2.7179
270,2.7152
271,2.7544
272,2.8002
273,2.7478
274,2.7852
275,2.6653
276,2.838
277,2.7607
278,2.8896
279,2.7195
280,2.9219
281,2.7206
282,2.9648
283,2.8581
284,2.6693
285,2.7897
286,2.7285
287,2.8777
288,2.7144
289,2.6237
290,2.9097
291,2.6643
292,2.6074
293,2.5276
294,2.7205
295,2.7482
296,2.7889
297,3.0093
298,2.8558
299,2.7022
300,2.6195
301,2.9181
302,2.7372
303,2.6844
304,2.8802
305,2.8723
306,2.7344
307,2.755
308,2.9863
309,2.5065
310,3.0052
311,2.8244
312,2.6971
313,2.8724
314,2.8715
315,2.5838
316,2.6152
317,2.9165
318,2.7432
319,2.8801
320,2.7264
321,2.9996
322,2.893
323,2.8235
324,2.7904
325,2.6993
326,2.9121
327,2.9072
328,2.6903
329,2.6054
330,2.6849
331,2.6923
332,2.7724
333,2.8717
334,2.6011
335,2.6063
336,2.7933
337,2.6318
338,2.4907
339,2.734
340,2.6881
341,2.6259
342,2.8637
343,2.7114
344,2.7202
345,2.9929
346,2.7937
347,2.6036
348,2.589
349,2.8459
350,2.7564
351,2.7017
352,2.8336
353,2.8344
354,2.6071
355,2.6544
356,3.0245
357,2.4905
358,2.6975
359,2.712
360,2.8848
361,2.8097
362,2.7084
363,2.749
364,2.5629
365,2.691
366,2.5943
367,2.9003
368,2.6756
369,2.7768
370,2.8813
371,2.6875
372,2.6302
373,2.7362
374,2.7706
375,2.686
376,2.7772
377,2.6151
378,2.6638
379,3.0378
380,2.6652
381,2.5759
382,2.8536
383,2.7041
384,2.6967
385,2.7832
386,2.6675
387,2.7329
388,2.661
389,2.9406
390,2.8941
391,2.8301
392,2.7987
393,2.7201
394,2.6642
395,2.7931
396,2.7071
397,2.7906
398,2.7574
399,2.7928
400,2.7296
401,2.4799
402,3.0968
403,2.8127
404,2.8843
405,2.789
406,2.6897
407,2.6135
408,2.8372
409,2.9261
410,2.8241
411,2.894
412,2.6678
413,2.9745
414,2.9257
415,2.8027
416,2.8959
417,2.8282
418,2.9368
419,2.5975
420,2.9058
421,2.8131
422,2.7366
423,2.9849
424,2.8984
425,3.0471
426,2.9248
427,2.7374
428,2.7121
429,2.9207
430,2.8742
431,2.6963
432,2.6117
433,2.8973
434,2.8916
435,2.6737
436,2.7351
437,2.7443
438,2.5366
439,2.6283
440,2.6954
441,2.3795
442,2.6712
443,2.5941
444,2.5766
445,2.6535
446,2.674
447,2.827
448,2.8287
449,2.85
450,2.8508
451,2.8692
452,2.5375
453,2.6081
454,2.793
455,2.8358
456,2.5793
457,2.7767
458,2.7679
459,2.5745
460,2.77
461,2.9673
462,3.0223
463,2.5979
464,2.8208
465,2.708
466,2.6465
467,2.7627
468,2.8431
469,2.6425
470,2.5973
471,2.8624
472,2.6388
473,2.8534
474,2.8414
475,2.7374
476,2.7677
477,2.7727
478,2.8784
479,2.7054
480,2.6348
481,2.6215
482,2.557
483,2.6907
484,2.8298
485,2.6514
486,2.8079
487,2.5069
488,2.8394
489,2.878
490,2.8251
491,2.7187
492,2.6581
493,2.942
494,2.7018
495,2.8106
496,2.6496
497,2.6619
498,2.625
499,2.4342
