Tempo_Segundos,RAM_MB
0,13.79
3,39.43
6,38.65
9,38.65
12,82.11
15,106.3
18,124.5
21,135.8
24,152.3
27,162.8
30,173.0
33,179.9
36,189.2
39,208.1
42,215.5
45,227.5
48,233.5
51,242.4
54,250.6
57,260.5
60,270.1
63,275.6
66,286.2
69,290.7
72,295.8
75,302.6
78,324.3
81,329.8
84,335.5
87,340.1
90,363.6
93,367.3
96,373.8
99,384.2
102,390.2
105,394.4
108,400.9
111,405.4
114,411.2
118,415.5
121,421.6
124,426.3
127,437.7
130,443.5
133,449.9
136,455.5
139,459.1
142,464.6
145,469.4
148,473.5
151,479.4
154,483.4
157,488.3
160,493.3
163,497.4
166,503.0
169,507.0
172,545.4
175,550.3
178,553.7
181,560.7
184,566.6
187,569.8
190,574.7
193,579.7
196,585.1
199,588.5
202,629.4
205,634.6
208,641.5
211,645.0
214,650.4
217,654.6
220,657.7
223,662.6
226,667.7
230,671.1
233,674.8
236,678.7
239,684.3
242,688.7
245,691.9
248,696.6
251,701.7
254,706.1
257,710.4
260,714.6
263,720.1
266,724.6
269,728.1
272,732.6
275,738.0
278,741.7
281,745.9
284,750.9
287,755.0
290,760.0
293,764.3
296,780.7
299,784.0
302,789.9
305,792.9
308,796.5
311,800.5
314,805.0
317,809.1
320,813.3
323,816.5
326,823.1
329,827.2
332,832.2
335,836.9
338,840.9
341,845.0
345,848.2
348,851.8
351,855.1
354,859.5
357,864.2
360,868.8
363,872.6
366,879.4
369,882.8
372,885.4
375,889.3
378,893.2
381,897.2
384,901.0
387,905.1
390,911.8
393,915.8
396,919.5
399,922.8
402,926.5
405,929.7
408,999.6
411,1004.0
414,1008.0
417,1012.0
420,1027.07
423,1030.14
426,1034.24
429,1038.34
432,1041.41
435,1046.53
438,1052.67
441,1056.77
444,1059.84
447,1064.96
450,1068.03
453,1072.13
456,1074.18
459,1074.18
