Tempo_Segundos,RAM_MB
0,14.78
3,37.11
6,37.11
9,75.98
12,118.7
15,132.5
18,144.5
21,158.1
24,172.2
27,181.2
30,188.6
33,196.9
36,211.7
39,219.7
42,234.8
45,242.0
48,247.6
51,257.2
54,267.3
57,272.4
60,278.5
63,286.7
66,292.8
69,298.7
72,304.9
75,326.3
78,332.6
81,337.3
84,342.7
87,361.2
90,369.1
93,377.1
96,381.6
99,387.2
102,392.0
105,397.1
108,401.8
112,408.9
115,415.5
118,419.3
121,425.5
124,430.3
127,441.1
130,447.7
133,452.8
136,458.4
139,462.0
142,467.2
145,472.6
148,476.1
151,481.5
154,487.3
157,494.1
160,499.6
163,503.3
166,510.4
169,515.0
172,551.7
175,559.1
178,564.0
181,568.0
184,572.9
187,578.0
190,583.3
193,587.7
196,592.9
199,597.1
202,629.7
205,637.0
208,642.3
211,646.4
214,649.5
217,656.7
220,662.0
224,665.1
227,669.2
230,676.4
233,680.9
236,684.3
239,687.6
242,691.6
245,697.0
248,701.1
251,704.3
254,708.3
257,712.7
260,718.2
263,721.6
266,726.6
269,731.9
272,736.3
275,739.5
278,743.7
281,748.2
284,752.3
287,756.6
290,761.3
293,764.7
296,780.4
299,783.7
302,787.5
305,791.5
308,795.2
311,803.1
314,806.8
317,810.4
320,814.0
323,818.6
326,823.5
329,828.0
332,833.2
335,836.9
339,840.2
342,843.3
345,847.8
348,851.2
351,854.9
354,859.8
357,864.6
360,870.1
363,873.5
366,877.0
369,880.4
372,883.5
375,887.1
378,893.6
381,898.2
384,901.7
387,905.8
390,910.1
393,915.4
396,918.8
399,922.4
402,925.6
405,928.6
408,998.6
411,1001.0
414,1006.0
417,1009.0
420,1013.0
423,1016.0
426,1020.0
429,1024.0
432,1027.07
435,1031.17
438,1034.24
441,1037.31
444,1042.43
447,1045.5
450,1049.6
453,1054.72
456,1057.79
459,1057.79
