Tempo_Segundos,RAM_MB
0,21.31
3,34.32
6,49.7
9,65.14
12,80.56
15,95.82
18,109.6
21,123.1
24,139.0
27,154.4
30,157.4
33,157.5
36,158.3
39,159.1
42,159.8
45,160.5
48,161.3
51,162.8
54,165.0
57,165.3
60,165.3
63,165.7
66,166.2
69,167.0
72,167.7
75,168.2
78,169.5
81,169.9
84,170.8
87,172.1
90,172.4
93,173.9
96,174.3
99,174.9
102,175.6
105,176.1
108,176.8
111,177.6
114,179.8
117,181.0
120,179.7
123,180.4
126,246.1
129,245.9
132,246.1
135,247.0
138,249.7
141,250.2
144,250.5
147,250.2
150,250.6
153,251.0
157,250.5
160,250.8
163,251.0
166,251.0
169,250.9
172,251.3
175,251.4
178,251.5
181,251.5
184,251.7
187,251.6
190,251.4
193,251.6
196,251.7
199,251.9
202,251.8
205,252.0
208,252.3
211,252.6
214,252.3
217,252.7
220,252.3
223,252.7
226,253.0
229,252.7
232,252.8
235,253.1
238,252.7
241,253.4
244,253.2
247,253.4
250,252.2
253,253.2
256,253.3
259,253.6
262,253.6
265,253.7
268,253.6
271,253.7
274,252.9
277,254.0
280,253.9
284,253.9
287,252.9
290,254.1
293,253.8
296,253.9
299,254.0
302,253.8
305,254.1
308,253.8
311,254.4
314,254.2
317,253.9
320,254.2
323,254.3
326,254.3
329,254.0
332,253.8
335,254.1
338,254.5
341,254.6
344,254.5
347,254.2
350,253.9
353,254.6
356,254.1
359,254.8
362,254.2
365,254.5
368,254.3
371,254.7
374,254.7
377,254.7
380,255.2
383,254.8
386,255.2
389,254.7
392,255.3
395,255.1
399,254.9
402,255.1
405,254.4
408,255.0
411,254.6
414,254.9
417,254.7
420,254.8
423,254.6
426,255.3
429,254.7
432,255.1
435,254.7
438,255.3
441,254.4
444,255.5
447,255.4
450,255.5
453,255.3
456,255.7
459,255.3
462,255.5
465,255.5
468,255.5
471,255.5
474,255.7
477,255.7
480,255.4
483,255.6
486,255.6
489,255.7
492,255.5
495,254.9
498,255.6
501,255.3
504,255.2
507,255.0
511,255.3
514,256.0
517,255.6
520,255.9
523,255.9
526,255.6
529,255.9
532,255.4
535,256.1
538,256.2
541,255.6
544,255.2
547,256.2
550,255.8
553,256.4
556,256.4
559,256.1
562,256.1
565,256.1
568,256.2
571,256.1
574,256.2
577,256.3
580,255.7
583,256.5
586,256.4
589,255.7
592,256.1
595,256.7
598,256.1
601,256.8
604,256.3
607,256.7
610,256.6
613,256.5
616,256.3
620,256.4
623,256.8
626,257.0
629,256.7
632,256.9
635,257.1
638,256.9
641,256.8
644,257.3
647,256.9
650,256.9
653,257.0
656,256.7
659,256.4
662,256.2
665,257.1
668,257.5
671,257.1
674,257.4
677,257.1
680,257.5
683,257.2
686,256.5
689,256.7
692,257.2
695,257.1
698,256.7
701,257.7
704,257.6
707,257.2
710,257.3
713,256.5
716,257.5
719,257.0
722,256.9
725,257.6
729,257.4
732,257.3
735,257.3
738,257.5
741,257.2
744,257.4
747,257.3
750,257.7
753,257.5
756,257.1
759,257.3
762,257.3
765,257.6
768,257.5
771,257.8
774,257.5
777,257.2
780,257.9
783,258.0
786,257.7
789,257.4
792,257.8
795,258.0
798,258.0
801,257.7
804,258.1
807,257.6
810,257.9
813,258.3
816,258.0
819,258.4
822,257.6
825,258.1
828,258.4
832,258.4
835,257.8
838,257.9
841,257.4
844,258.7
847,258.1
850,257.9
853,258.4
856,258.1
859,258.2
862,258.4
865,258.5
868,258.2
871,258.5
874,258.6
877,257.9
880,258.9
883,258.7
886,258.4
889,258.1
892,258.8
895,259.1
898,257.9
901,258.2
904,259.2
907,258.8
910,258.7
913,258.5
916,258.3
919,258.9
922,258.5
925,258.6
928,259.1
931,258.9
934,258.6
937,259.1
941,259.0
944,259.3
947,259.3
950,259.5
953,259.1
956,258.9
959,258.9
962,258.5
965,259.5
968,258.9
971,258.9
974,258.9
977,259.2
980,259.2
983,259.7
986,259.5
989,259.6
992,258.9
995,259.3
998,259.0
1001,259.4
1004,259.3
1007,259.0
1010,259.4
1013,259.4
1016,259.7
1019,259.8
1022,260.0
1025,259.5
1028,259.8
1031,259.7
1034,259.4
1037,260.2
1040,259.7
1043,259.4
1046,259.8
1050,260.0
1053,259.8
1056,259.9
1059,259.2
1062,259.6
1065,259.2
1068,259.7
1071,260.0
1074,259.6
1077,259.6
1080,260.1
1083,259.4
1086,260.4
1089,259.7
1092,260.4
1095,259.7
1098,259.5
1101,259.9
1104,260.4
1107,260.3
1110,260.0
1113,259.5
1116,259.4
1119,260.6
1122,259.9
1125,260.1
1128,260.2
1131,260.2
1134,259.7
1137,260.6
1140,260.4
1143,260.4
1146,259.9
1149,259.9
1152,259.5
1156,260.3
1159,260.8
1162,260.2
1165,260.2
1168,260.6
1171,260.4
1174,259.4
1177,260.7
1180,260.3
1183,261.1
1186,261.1
1189,260.3
1192,260.6
1195,260.8
1198,261.0
1201,259.9
1204,261.0
1207,261.0
1210,260.6
1213,260.6
1216,260.0
1219,261.3
1222,259.9
1225,261.3
1228,260.8
1231,260.4
1234,260.6
1237,261.2
1240,260.9
1243,260.7
1246,261.0
1249,260.9
1252,261.4
1255,261.2
1258,260.7
1261,261.1
1265,261.2
1268,260.8
1271,261.2
1274,261.5
1277,261.4
1280,261.2
1283,261.4
1286,260.9
1289,261.3
1292,261.0
1295,260.9
1298,261.7
1301,261.1
1304,260.9
1307,261.4
1310,261.3
1313,261.6
1316,261.1
1319,261.9
1322,261.1
1325,261.5
1328,261.5
1331,261.2
1334,261.4
1337,261.5
1340,261.6
1343,261.6
1346,261.2
1349,261.8
1352,261.7
1355,261.6
1358,262.2
1361,262.2
1364,261.7
1367,261.7
1371,261.5
1374,261.6
1377,262.1
1380,261.9
1383,261.7
1386,261.5
1389,261.9
1392,262.1
1395,261.7
1398,262.1
1401,261.3
1404,262.2
1407,262.0
1410,261.8
1413,261.4
1416,261.9
1419,260.8
1422,261.8
1425,262.0
1428,261.9
1431,262.0
1434,261.6
1437,261.5
1440,262.3
1443,261.9
1446,262.4
1449,262.0
1452,262.0
