Tempo_Segundos,RAM_MB
0,27.91
3,54.95
6,82.36
9,110.2
12,138.3
15,156.7
18,157.7
21,159.2
24,160.9
27,162.3
30,163.0
33,163.9
36,165.2
39,166.4
42,167.9
45,169.2
48,170.2
51,171.8
54,174.4
57,174.8
60,175.9
63,239.8
66,240.0
69,240.1
72,240.2
75,243.3
78,244.4
81,243.6
84,244.4
87,244.4
90,244.9
93,244.9
96,245.2
99,245.1
102,245.6
105,245.3
108,245.4
111,245.3
114,245.8
117,245.6
120,245.3
123,245.8
126,246.2
129,246.1
133,246.3
136,246.5
139,246.2
142,246.9
145,246.9
148,246.9
151,246.8
154,247.0
157,246.8
160,246.8
163,247.4
166,247.4
169,247.0
172,247.5
175,247.5
178,247.6
181,247.1
184,247.4
187,247.7
190,247.8
193,247.2
196,248.0
199,247.5
202,248.1
205,248.0
208,247.6
211,248.4
214,248.1
217,248.4
220,248.3
223,248.4
226,247.9
229,248.7
232,248.1
235,248.0
238,248.4
241,248.7
244,247.6
247,248.6
251,248.0
254,248.9
257,248.9
260,248.8
263,248.7
266,248.8
269,249.0
272,248.8
275,249.2
278,248.6
281,248.7
284,248.6
287,249.1
290,249.0
293,248.6
296,249.2
299,249.4
302,249.6
305,249.1
308,249.4
311,249.5
314,249.6
317,249.3
320,249.1
323,249.6
326,249.4
329,249.9
332,249.7
335,249.8
338,249.4
341,249.6
344,249.5
347,249.9
350,249.7
353,250.0
356,249.9
359,249.7
362,249.7
365,249.5
369,249.4
372,249.4
375,249.6
378,250.1
381,249.7
384,249.9
387,250.2
390,250.1
393,249.8
396,249.7
399,249.9
402,250.1
405,249.0
408,250.2
411,250.4
414,250.2
417,249.9
420,250.1
423,249.6
426,250.3
429,250.2
432,250.6
435,250.0
438,250.1
441,250.3
444,250.6
447,250.1
450,249.9
453,250.3
456,250.4
459,250.7
462,250.4
465,250.2
468,249.5
471,250.3
474,250.5
477,250.5
480,250.7
484,250.3
487,250.5
490,250.7
493,250.5
496,250.9
499,250.8
502,250.4
505,251.0
508,250.6
511,250.9
514,251.0
517,250.9
520,251.3
523,250.9
526,251.2
529,250.7
532,251.2
535,250.9
538,250.8
541,251.2
544,251.2
547,251.0
550,251.6
553,250.8
556,251.3
559,251.2
562,251.6
565,251.9
568,251.3
571,251.6
574,251.1
577,251.5
580,251.0
583,251.3
586,251.3
590,251.9
593,251.3
596,251.2
599,251.8
602,251.9
605,251.3
608,251.3
611,251.7
614,251.8
617,251.9
620,251.4
623,251.6
626,251.9
629,251.7
632,251.8
635,251.8
638,251.9
641,251.9
644,252.0
647,251.9
650,252.1
653,252.3
656,251.3
659,251.7
662,252.3
665,252.3
668,251.9
671,251.8
674,251.6
677,251.7
680,252.2
683,252.2
686,251.9
689,252.3
692,251.6
695,252.5
698,252.1
702,251.9
705,252.2
708,252.1
711,252.5
714,252.4
717,252.2
720,252.1
723,252.2
726,252.2
729,252.5
732,252.2
735,252.3
738,252.9
741,252.7
744,252.2
747,252.7
750,252.8
753,252.8
756,252.8
759,252.5
762,252.8
765,252.4
768,252.9
771,252.6
774,252.9
777,253.4
780,252.9
783,252.4
786,253.1
789,252.9
792,252.8
795,252.4
798,252.2
801,252.9
804,252.9
807,253.1
810,253.1
814,253.1
817,252.9
820,253.3
823,253.4
826,253.1
829,253.6
832,253.7
835,252.9
838,252.7
841,253.1
844,252.9
847,253.6
850,253.2
853,253.5
856,253.1
859,253.0
862,253.5
865,253.5
868,253.3
871,252.8
874,253.8
877,253.3
880,253.9
883,253.4
886,253.8
889,253.5
892,253.9
895,253.9
898,253.9
901,253.9
904,253.4
907,253.2
910,253.8
913,253.5
916,253.7
920,253.5
923,253.6
926,253.9
929,253.3
932,254.0
935,254.1
938,254.0
941,254.0
944,254.0
947,253.4
950,253.9
953,254.3
956,254.1
959,253.7
962,254.1
965,253.8
968,254.5
971,254.5
974,254.3
977,254.6
980,254.3
983,254.2
986,253.9
989,254.4
992,254.4
995,254.3
998,254.2
1001,254.7
1004,254.4
1007,254.4
1010,254.3
1013,254.6
1016,254.3
1019,254.4
1022,254.2
1025,254.0
1029,254.4
1032,254.6
1035,254.6
1038,254.7
1041,254.4
1044,254.1
1047,255.2
1050,254.6
1053,254.2
1056,254.4
1059,255.1
1062,255.2
1065,254.9
1068,254.1
1071,254.6
1074,254.5
1077,254.9
1080,254.3
1083,254.2
1086,255.2
1089,254.6
1092,254.7
1095,254.8
1098,255.2
1101,254.8
1104,254.3
1107,255.0
1110,254.7
1113,254.2
1116,255.1
1119,255.4
1122,255.4
1125,255.1
1128,254.9
1131,254.9
1134,255.3
1138,254.9
1141,255.2
1144,255.6
1147,255.7
1150,255.7
1153,255.5
1156,255.0
1159,255.3
1162,255.4
1165,255.1
1168,255.6
1171,255.4
1174,254.9
1177,255.0
1180,255.5
1183,255.7
1186,254.8
1189,254.8
1192,255.6
1195,255.7
1198,255.2
1201,255.8
1204,255.3
1207,255.8
1210,255.8
1213,255.8
1216,255.9
1219,255.6
1222,255.5
1225,255.8
1228,255.7
